customer_id,age,annual_income,loan_amount,credit_score,transaction_count,spending_ratio,default_flag,repayment_history,regional_risk_index,local_unemployment_rate,annual_income_missing_flag,credit_score_missing_flag,join_year,join_month,join_day,education_level_encoded,gender_encoded,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,credit_score_flag,repayment_history_quantile_bin,transaction_kmeans_bin,debt_to_income_ratio,average_monthly_transactions,spending_to_income_ratio,spending_log,spending_reciprocal,spending_sqrt,annual_income_boxcox,loan_amount_yeojohnson,join_weekday_encoded,income_group_encoded,employment_type_Salaried,employment_type_Self-Employed,employment_type_Unemployed
CUST001,-1.0599999999999998,-0.39062078289364954,-0.3763374815525126,-0.9300353356890453,-0.23772609819121446,1.1736697750959957,0,-0.6666666666666666,-0.9230769230769231,-0.9230769230769234,0,0,0.5,-0.64,0.9354838709677419,0.0,-1.0,0,0,0,1,0,0,0,1,0,0,-0.5,0.0,-0.2883590472168681,-0.23772609819121462,1.1736697750959955,0.9935158789905097,-0.8407451767035979,1.0778276948576793,-0.5014204826364601,-0.46238916147494774,-0.75,-0.5,0,0,1
CUST002,0.6733333333333335,-0.35299372014281355,0.09594195085736928,0.2289752650176685,-0.8165374677002584,-0.20822819528250125,0,-0.3333333333333333,-0.5384615384615384,-0.461538461538462,0,0,-0.8333333333333334,0.32,0.3548387096774194,0.0,1.0,0,1,0,0,1,0,0,0,0,1,0.0,-0.8,0.47453564548496696,-0.8165374677002586,-0.2082281952825013,-0.2503633768045612,0.2941167057689476,-0.22952519865387616,-0.44409898643546697,0.090811915160641,0.0,-0.5,0,0,1
CUST003,0.3400000000000001,-0.7994350481452103,-0.7288237104936098,-0.4353356890459357,1.1059431524547803,0.43071859572133864,0,-0.3333333333333333,0.46153846153846156,0.538461538461538,0,0,0.8333333333333334,-0.32,0.03225806451612903,-2.0,2.0,0,0,1,0,0,0,0,0,1,0,0.0,0.8,-0.4445232550773484,1.10594315245478,0.4307185957213384,0.42952990521435214,-0.4197818830669182,0.4311379780081274,-1.3368415193497492,-1.2049504139244778,-0.75,-0.5,1,0,0
CUST004,-0.19333333333333325,-0.07456167158649711,-0.465289247589052,-0.33639575971731384,0.39276485788113696,0.7440482720789908,1,0.3333333333333333,0.0,0.0,0,0,0.16666666666666666,0.16,0.9354838709677419,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.5,0.0,-0.7301953958761602,0.39276485788113685,0.7440482720789907,0.6888156870293073,-0.6294445498151737,0.7163445349458267,-0.08177120533875556,-0.6089166749775863,0.75,-0.5,1,0,0
CUST005,-0.19333333333333325,-0.5443579082786691,-0.3263874413512069,0.07349823321554834,0.8372093023255814,0.4842567196928142,1,2.0,0.46153846153846156,0.538461538461538,0,0,-0.8333333333333334,-0.64,-0.03225806451612903,-2.0,0.0,0,0,1,0,0,0,1,0,0,0,1.0,0.8,0.03884486271224458,0.8372093023255814,0.484256719692814,0.47651456662877884,-0.46000847071942574,0.48136401407394647,-0.7633166158543212,-0.3880068250110562,-0.25,-0.5,0,1,0
CUST006,-0.006666666666666762,-0.28769086481364653,-0.1866862872665144,0.45512367491166145,0.5581395348837209,0.8173340647284698,1,0.0,0.46153846153846156,0.538461538461538,0,0,-1.1666666666666667,0.64,0.6129032258064516,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0.0,0.8,-0.10065680037792607,0.5581395348837207,0.8173340647284697,0.7445094301526887,-0.6707366344196889,0.7802307295400639,-0.3499448897226475,-0.20393234178508243,-0.5,-0.5,0,1,0
CUST007,-1.0599999999999998,2.416914796437882,-0.6350951957164548,-0.37879858657243753,-0.5684754521963824,-0.5742183214481622,0,0.0,-0.5384615384615384,-0.461538461538462,0,0,0.8333333333333334,-0.96,0.9354838709677419,-1.0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,-0.8,-1.4813225526606557,-0.5684754521963826,-0.5742183214481622,-0.7955557824631356,1.0922467591915008,-0.6798642178264455,1.355513221049304,-0.9565277181004107,0.75,2.5,1,0,0
CUST008,0.47333333333333344,-0.03105088218460793,-0.0979728785580912,0.8508833922261491,-0.6408268733850129,1.5488754799780582,1,1.0,0.46153846153846156,0.538461538461538,0,0,-0.8333333333333334,0.8,-0.8709677419354839,-1.0,0.0,0,0,1,0,0,0,0,1,0,1,1.0,-0.8,-0.26259350790236424,-0.6408268733850131,1.5488754799780575,1.223596826990467,-0.978562252848718,1.3710707569289329,-0.03316537650572943,-0.10190965974635134,0.5,-0.5,0,0,0
CUST009,-0.7933333333333332,-0.7994350481452103,-0.6719245961929529,1.3802120141342737,-0.6511627906976745,0.6080087767416348,0,0.0,-0.5384615384615384,-0.461538461538462,0,0,0.5,-0.32,-0.5483870967741935,-2.0,0.0,0,1,0,0,0,0,0,1,0,1,0.0,-0.8,-0.29032023638798654,-0.6511627906976746,0.6080087767416346,0.580716959375596,-0.5456255451066988,0.5950309790052385,-1.3368415193497492,-1.0480494194226873,-0.5,-0.5,0,1,0
CUST010,-1.0599999999999998,0.7190011299886134,-0.591524217514304,-0.0819787985865718,0.6821705426356589,-0.2578167855183761,0,-1.0,0.46153846153846156,0.538461538461538,1,0,-1.1666666666666667,0.8,0.22580645161290322,0.0,-1.0,0,0,1,0,0,1,0,0,0,0,-0.5,0.8,-1.2127789266353721,0.6821705426356589,-0.25781678551837633,-0.3153950323502007,0.37732254378395297,-0.2866977500588064,0.5966364381621545,-0.856767334004186,0.25,0.5,1,0,0
CUST011,0.07333333333333343,2.3416267057934794,1.8035281774972933,1.3802120141342737,-0.041343669250646,0.9639056500274275,0,0.3333333333333333,0.0,0.0,0,0,-0.8333333333333334,0.8,0.03225806451612903,-1.0,0.0,1,0,0,0,1,0,0,0,0,1,0.5,0.0,-0.1769785277114696,-0.041343669250646066,0.9639056500274269,0.8510610519654218,-0.7463211980165173,0.9051453825838038,1.331565958178495,1.001397505487222,0.5,2.5,0,0,1
CUST012,1.2066666666666668,-0.6366123807569816,-0.3015904635006073,0.11590106007067202,-0.23772609819121446,1.5619089413055396,0,-0.6666666666666666,0.0,0.0,0,0,-0.8333333333333334,0.8,0.4838709677419355,1.0,-1.0,1,0,0,0,0,0,1,0,0,0,-0.5,0.0,0.27550797282121026,-0.23772609819121462,1.5619089413055394,1.231092227594372,-0.9827672999988627,1.3809323693345785,-0.9466749504936943,-0.3529102923254227,0.5,-0.5,1,0,0
